,topic,sentiment,tweet_id,tweet_text
75,apple,positive,126026756623831041,@Apple Safari Reader owns the worldwide web
76,apple,positive,126019393460244481,I love @apple service . My case has cracked 3x and I go in and they hand me a case and I walk out
77,apple,positive,126015087386431488,
78,apple,positive,126009748020658177,Said to have laid out the next 4 years @apple.Jobs last iPhone is 2012 not the iPhone4S. iPhone(4G/5) 2012 is magical! http://t.co/DxxklUBp
79,apple,positive,126008369562652672,"Kind of excited. On my way to my last class right now and then going to the @Apple store, so buy #MacOSC Snow Leopard and Lion :-)"
80,apple,positive,126002597063696384,i used to be with @blackberry over 4-5yrs .. after all the disruptions and lost gigs thx to their service im moving to @apple #iphone
81,apple,positive,125999676972470272,"Apple sells 4 million iPhones in 3 days @apple keep doing what you are doing, because you are doing it well! http://t.co/ZZc6bE0w"
82,apple,positive,125995158679461888,
83,apple,positive,125979338846900224,
84,apple,positive,125978568726560768,"4 millions in a weekend, 16 #iPhone4S per second. This is madness?! no, this is @Apple !!!"
85,apple,positive,125978473712979969,
86,apple,positive,125974505385500672,.@apple you got me. I'm now invested. MacBook Pro next year. Time to get on selling more of my #android gear
87,apple,positive,125960325437722624,
88,apple,positive,125959059957485569,I just sent my grandma a post card using my #CardsApp thanks @Apple
89,apple,positive,125954443643588608,
90,apple,positive,125947912306954240,"@KostaTsetsekas @apple Putting it in the wash is kind of the equivalent to ""Will it blend?"" Glad to hear it's still alive."
91,apple,positive,125947232359948288,
92,apple,positive,125943290288803841,
93,apple,positive,125940394566483968,"God Bless @YouTube, @apple for  #appletv & our bad ass system. LOVING #PrincessOfChina. GB to @coldplay & @rihanna too :)"
94,apple,positive,125932869389524992,
95,apple,positive,125930171562852353,
96,apple,positive,125925618486489088,Been off twitter for a few days as I smashed my iPhone but @apple were very nice and gave me a new one :)
97,apple,positive,125924446430183425,Thank you @Apple iOS 5 for email pop up on the lock screen and opening it when unlocking.
98,apple,positive,125922999651139584,One word - #wow. RT @jldavid iPhone 4S First Weekend Sales Top Four Million: http://t.co/Zx5Pw0GT (via @apple)
99,apple,positive,125910633731461120,
